Targeted Website Conversion,Average Order Value,Targeted ROAS,CPC Ceiling [For Reference],ON Platform - Organic,ON Platform - Paid,3rd Party Channels,Offline Stores,Net # of orders / day,Revenues per week (L),MRR (L),GMV ARR (Cr),Private Label Brands,3rd Party Brands,NMV MRR (L),NMV ARR (INR Cr),NMV %,Product + Packaging cost + Shipping,COGS Monthly (INR L),COGS ARR (INR Cr),COGS (% of GMV),Gross Margin ARR (INR Cr),Gross Margin%,Order processing fees,Order processing fees.1,Warehousing + Shipping,Store Merchant Fees,3rd Party Channel Margins.1,Contribution margin 1 (L),Contribution Margin 1 %,Daily Paid Marketing Budget (INR),Weekly marketing spend (L),Monthly marketing spend (L),# of order / day,Revenue / week (L),Paid - Channel ARR (Cr),Marketing %,Marketplace mktg / week (L),# of order / day.1,marketplace revenue / week (L),marketplace ARR (Cr),Offline mktg / week (L),Overall Marketing spend / week (L),Overall Marketing spend / month (L),Blended Marketing %age,Contribution margin 2 (L),Contribution Margin 2 %,Payroll,Other operating expenses,EBITDA (L),EBITDA Margin %,Opening Cash Balance,Cash-in Revenue,Investments,Cash-out Costs,Cash-out Inventory,Cash movement for the month,Closing Cash Balance,Cost of Inventory,Cash for Additional Inventory,Investment Infusion ,Conversion_to_ROAS,Total_Cash_Flow,CPC_to_orders,Investment_to_Cash_in,Revenue_to_Cost_Growth
-0.7433817634523122,1200,-0.0849608820270545,-1.6413779650408975,-0.968589857112204,1.504157352767396,0.8993671235903844,-1.277691296586971,-0.8324322854376432,50.4,216.0,25.9,-1.2388268960998374,1.2380106286857546,89.0,10.7,-1.2386731344728257,1.4142135623730945,1.7,0.2,-1.2702007845165897,10.5,-1.192976329702892,1.096960703402874,0.6722854557777929,-0.920173676033451,-0.904534033733292,0.8993671235903854,7,-1.1127033772571864,80000,5.6,24.0,-0.8320590441900438,25.2,12.96,-0.1009560654407473,1.01,-0.8981545079955311,20.16,10.4,0.09,6.7,28.7,0.2328316726297338,-0.1,-0.7999027853346306,-0.0296497313183717,1.8605210188381267,-0.5388439785937779,-0.5262725826945509,0.0998484601770182,-0.7956812868514772,-0.1773631184088844,-0.8069942214870991,-0.1385640628955551,-0.2542747087524435,-0.0020083340573483,-0.7979679175886161,0.0,-0.1758631145281647,-0.4316095496312592,-0.2543226215582498,-0.1771014193313855,-0.1574262639841924,-0.7593161931482552
-0.7433817634523122,1200,-0.7646479382434908,-1.1791987961596122,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8300990990769739,58.8,252.0,30.2,-1.1896736003942494,1.1888442018118166,104.6,12.5,-1.1895064315961594,1.4142135623730945,2.5,0.3,-1.2093285424471043,12.2,-1.1577333066688311,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,8,-0.9697533461239856,105000,7.35,31.5,-0.8291381962066198,29.4,15.12,0.4319386091009246,1.1,-0.8960339902565317,22.05,11.3,0.21,8.66,37.11,0.7003347289906229,-0.6,-0.91512634076681,-0.0296497313183717,1.8605210188381267,-0.5457990476946979,-0.5947734330854534,0.0940838596267108,-0.7945130285078802,-0.1773631184088844,-0.8053617727698811,-0.132279978410496,-0.2579726896705218,-0.0079271019341684,-0.7964870913157187,0.1,-0.1758631145281647,0.0983910266411201,-0.2580206270215185,-0.180153536053391,-0.1574262639841924,-1.0971066723328775
-0.7433817634523122,1400,-0.6558980092488609,-0.5860688627619635,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8269026337628569,82.03,352.0,42.2,-1.1306896455475437,1.129844489563092,147.2,17.7,-1.127228607952381,0.7071067811865461,4.0,0.5,-1.1514999124810936,17.2,-1.0907715629041213,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,11,-0.9266414319727024,143486,10.04,43.05,-0.8251074259894945,41.0,21.09,0.3341773558576679,1.54,-0.8913319726613592,30.76,15.8,0.29,11.87,50.87,0.6159244549254619,-0.5,-0.8511132544155992,-0.4249794822299991,0.620173672946042,-0.5457990476946979,-0.3452950273408086,0.0868316202247112,-0.7906188340292237,-0.1773631184088844,-0.8008725387975314,-0.132279978410496,-0.2598216801295609,-0.0144529229265597,-0.7950062650428215,0.1,-0.1758631145281647,0.0048615131812888,-0.2598696297531528,-0.1838146175216031,-0.1574262639841924,-1.0321469647973738
-0.7433817634523122,1400,-0.5335543391299025,-0.6785046965382205,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8230762081313591,98.1,420.0,50.5,-1.0618750315597203,1.0708447773143654,177.6,21.3,-1.0665896744044925,0.7071067811865461,6.0,0.7,-1.0784532219977114,20.6,-1.0414313306564384,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,14,-0.8971438065007723,168168,11.77,50.45,-0.8203172352966789,49.0,25.23,0.2402498772514023,1.84,-0.885707990831839,36.79,18.9,0.34,13.95,59.8,0.5380072788653143,-0.2,-0.7970577592745767,-0.4249794822299991,0.620173672946042,-0.5527541167956179,-0.3131588259228543,0.0788355613968654,-0.7878928978941643,-0.1773631184088844,-0.7980157535423998,-0.132279978410496,-0.2630574134328794,-0.0220410868712008,-0.7935254387699241,0.1,-0.1758631145281647,-0.0960696164516229,-0.2631053845335129,-0.1979966799666541,-0.1574262639841924,-0.810719092154611
-0.7433817634523122,1400,-0.4248044101352726,-0.7709405303144776,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8185031628644472,117.31,503.0,60.3,-1.0028910767130146,1.0020117796908523,214.3,25.7,-1.0043118507607138,0.7071067811865461,8.0,1.0,-1.0084501436178035,24.7,-0.9956154007121611,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,17,-0.8653771329156164,197153,13.8,59.15,-0.8145923732491677,58.7,30.16,0.1501561732821272,2.2,-0.8788854554976672,43.99,22.6,0.41,16.41,70.33,0.4600901028051659,0.2,-0.7444247771635811,-0.4249794822299991,0.620173672946042,-0.556231651346078,-0.2818683140158988,0.0695378185737889,-0.7847775423112391,-0.1773631184088844,-0.7943427439286591,-0.132279978410496,-0.2672176419657174,-0.0309951203258774,-0.7920446124970267,0.1,-0.1758631145281647,-0.1821975137383745,-0.26726564067969,-0.2096394823969766,-0.1574262639841924,-0.8667949819797274
-0.7433817634523122,1400,-0.3160544811406427,-0.8556733779427127,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8130435067804809,140.24,601.0,72.1,-0.9439071218663092,0.9430120674421268,258.4,31.0,-0.9436729172128252,0.7071067811865461,11.0,1.4,-0.9354034531344214,29.6,-0.9462751684644783,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,20,-0.833610459330461,231162,16.18,69.35,-0.8077575889679552,70.1,36.06,0.0638962439498416,2.63,-0.8707721702354086,52.59,27.0,0.49,19.3,82.72,0.3854194757475241,0.7,-0.6932143080826124,-0.4249794822299991,0.620173672946042,-0.5631867204469979,-0.2514234916199422,0.0585664820425587,-0.7808833478325827,-0.1773631184088844,-0.7902616221356139,-0.1259958939254367,-0.2718401181133152,-0.0414667865694821,-0.7905637862241294,0.2,-0.1758631145281647,-0.2651428559290798,-0.2718881475087758,-0.2191144138737089,-0.1574262639841924,-0.6683726025985495
-0.7433817634523122,1400,-0.1937108110216844,-0.9404062255709486,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.8065105849706068,167.68,719.0,86.2,-0.8849231670196035,0.8840123551934024,311.7,37.4,-0.8813950935690468,0.7071067811865461,15.0,1.8,-0.8623567626510392,35.6,-0.8969349362167957,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,24,-0.8018437857453056,271177,18.98,81.35,-0.7995792146143678,83.8,43.12,-0.0204467980639473,3.14,-0.8610915457747593,62.88,32.3,0.59,22.71,97.34,0.3172419466948948,1.5,-0.6420038390016438,-0.4249794822299991,0.620173672946042,-0.566664254997458,-0.2209786692239854,0.0457355969467132,-0.776210314458195,-0.1773631184088844,-0.7849561638046552,-0.1259958939254367,-0.2778493371051924,-0.0539113754386935,-0.7876021336783348,0.2,-0.1758631145281647,-0.3548673847411407,-0.2778974063865873,-0.2269110366479023,-0.1574262639841924,-0.6683726025985495
-0.7433817634523122,1400,-0.0849608820270545,-1.0251390731991843,-0.968589857112204,1.504157352767396,0.516657709296604,-0.9458234273436018,-0.7986944106623645,200.51,859.0,103.1,-0.8161085530317802,0.8250126429446757,376.0,45.1,-0.820756160021158,0.7071067811865461,20.0,2.4,-0.7893100721676571,42.7,-0.8475947039691148,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,29,-0.7723461602733748,318267,22.28,95.48,-0.7898235823497312,100.3,51.56,-0.1009560654407473,3.76,-0.8495669928454148,75.19,38.7,0.7,26.74,114.6,0.2490644176422647,2.5,-0.592215882950702,-0.4249794822299991,0.620173672946042,-0.577096858648838,-0.1913795363390276,0.0304872987168677,-0.770758442188076,-0.1773631184088844,-0.7788344811150874,-0.1259958939254367,-0.2843208037118294,-0.0684806502124045,-0.7831596548596427,0.2,-0.1758631145281647,-0.4316095496312592,-0.2843689159473073,-0.2333224237394717,-0.1574262639841924,-0.6449032889083057
-0.2637806257411451,1400,0.0237890469675753,-0.8710793502387559,-0.7044289869906936,1.1215537368514998,0.516657709296604,-0.8396257091857238,-0.7893383333560803,239.81,1028.0,123.3,-0.7571245981850745,0.7561796453211626,453.5,54.4,-0.7584783363773797,0.7071067811865461,27.0,3.2,-0.7193069937877492,51.2,-0.8017787740248395,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,35,-0.7405794866882194,361266,25.29,108.38,-0.780476868802774,115.9,59.61,-0.1776315581805557,4.5,-0.8356453329067668,89.93,46.2,0.98,30.76,131.85,0.0834904185144503,4.5,-0.5011750490289799,-0.4249794822299991,-0.6201736729460424,-0.577096858648838,-0.0949709320851649,0.0126356324965609,-0.76413831157436,-0.1773631184088844,-0.7718965740669106,-0.1197118094403776,-0.2884810322446674,-0.0844157944961508,-0.7787171760409507,0.3,-0.1758631145281647,-0.2742294658473215,-0.2885291720934846,-0.2372407163760191,-0.1574262639841924,-0.4798713421864318
-0.2637806257411451,1400,0.1461327170865337,-0.9481092117189698,-0.4072480081039948,0.7614562159894813,0.516657709296604,-0.7201532762581108,-0.7781623706884742,286.75,1229.0,147.5,-0.6981406433383689,0.6971799330724382,546.9,65.6,-0.697839402829491,0.7071067811865461,35.0,4.2,-0.646260303304367,61.4,-0.7524385417771567,1.096960703402874,1.6103581847700617,-0.5149595801655101,-0.904534033733292,0.5166577092966048,43,-0.7088128131030634,409640,28.67,122.89,-0.7698449821431103,133.8,68.82,-0.2523901636018696,5.38,-0.8191421731119455,107.53,55.3,1.34,35.39,151.67,-0.075590482608352,7.2,-0.4115567281372848,-0.4249794822299991,-0.6201736729460424,-0.584051927749758,-0.0416924928922407,-0.0068896274318996,-0.756349922617047,-0.1773631184088844,-0.7633262183015157,-0.1134277249553184,-0.2954147464660642,-0.1024756246843967,-0.7727938709493614,0.4,-0.1758631145281647,-0.3589756376795838,-0.2950006816542045,-0.2417508008065935,-0.1574262639841924,-0.4434434168114894
